step,type,amount,nameOrig,oldbalanceOrig,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isSAR,alertID
0,TRANSFER,115.7,767,72330.75,72215.05,112,55093.1,55208.81,0,-1
0,TRANSFER,833.93,1426,60236.94,59403.01,549,89154.15,89988.08,0,-1
0,TRANSFER,644.87,1437,95315.42,94670.54,736,51798.37,52443.24,0,-1
0,TRANSFER,648.7,1400,87998.54,87349.84,159,92832.85,93481.55,0,-1
0,TRANSFER,756.28,936,92624.61,91868.32,62,83732.75,84489.03,0,-1
0,TRANSFER,673.2,936,91868.32,91195.12,69,50567.73,51240.94,0,-1
0,TRANSFER,471.71,1108,50008.69,49536.98,25,98268.42,98740.14,0,-1
0,TRANSFER,514.98,1338,84274.84,83759.85,43,98240.77,98755.75,0,-1
0,TRANSFER,935.48,934,75431.82,74496.34,12,73406.17,74341.66,0,-1
0,TRANSFER,179.72,392,54879.55,54699.83,546,95589.53,95769.26,0,-1
0,TRANSFER,248.11,1110,87022.22,86774.1,116,75848.96,76097.07,0,-1
0,TRANSFER,686.5,1337,89492.07,88805.57,47,50687.14,51373.64,0,-1
0,TRANSFER,887.8,84,59592.94,58705.14,133,77099.82,77987.63,0,-1
0,TRANSFER,281.62,954,92750.67,92469.04,35,90007.29,90288.92,0,-1
0,TRANSFER,977.34,891,51613.89,50636.55,365,50412.8,51390.14,0,-1
0,TRANSFER,252.98,891,50636.55,50383.56,365,51390.14,51643.13,0,-1
0,TRANSFER,128.65,22,94007.32,93878.67,49,89135.93,89264.58,0,-1
0,TRANSFER,797.01,1385,86929.43,86132.42,1410,57494.17,58291.18,0,-1
0,TRANSFER,862.68,1039,53639.42,52776.75,37,79124.71,79987.39,0,-1
0,TRANSFER,830.99,114,98439.4,97608.4,8,98752.43,99583.43,0,-1
0,TRANSFER,976.68,114,97608.4,96631.72,8,99583.43,100560.11,0,-1
0,TRANSFER,561.45,942,76945.54,76384.08,7,97479.13,98040.59,0,-1
0,TRANSFER,800.99,1307,89411.07,88610.07,68,81377.42,82178.42,0,-1
0,TRANSFER,278.77,1311,94987.31,94708.53,27,73519.92,73798.71,0,-1
0,TRANSFER,764.07,945,65666.21,64902.14,21,93546.53,94310.61,0,-1
0,TRANSFER,586.08,496,61323.03,60736.94,1248,52473.05,53059.14,0,-1
0,TRANSFER,419.9,1139,57771.98,57352.07,119,55831.51,56251.41,0,-1
0,TRANSFER,641.61,943,62916.51,62274.89,240,97253.5,97895.12,0,-1
0,TRANSFER,840.17,1365,73826.24,72986.06,547,82563.71,83403.89,0,-1
0,TRANSFER,851.46,1378,73453.54,72602.08,31,70988.9,71840.35,0,-1
0,TRANSFER,148.36,1369,63326.71,63178.35,173,88458.52,88606.89,0,-1
0,TRANSFER,129.26,777,55261.3,55132.04,76,53369.67,53498.94,0,-1
0,TRANSFER,980.2,615,84299.0,83318.79,69,51240.94,52221.14,0,-1
0,TRANSFER,728.31,1424,80904.15,80175.84,745,66747.25,67475.56,0,-1
0,TRANSFER,482.06,1099,84665.85,84183.78,17,93010.15,93492.22,0,-1
0,TRANSFER,237.33,1187,68477.04,68239.71,78,95387.75,95625.09,0,-1
0,TRANSFER,535.47,603,87187.82,86652.34,26,56016.47,56551.94,0,-1
0,TRANSFER,501.49,74,85691.6,85190.11,292,87244.17,87745.67,0,-1
0,TRANSFER,870.66,74,85190.11,84319.44,292,87745.67,88616.34,0,-1
0,TRANSFER,943.04,1122,59537.83,58594.79,20,72595.39,73538.43,0,-1
0,TRANSFER,397.72,64,50082.14,49684.41,48,86651.57,87049.29,0,-1
0,TRANSFER,450.91,113,90438.79,89987.88,133,77987.63,78438.53,0,-1
0,TRANSFER,706.81,876,93104.25,92397.44,27,73798.71,74505.51,0,-1
0,TRANSFER,668.04,604,54625.08,53957.04,29,85825.17,86493.22,0,-1
0,TRANSFER,682.6,23,99670.19,98987.59,1329,70651.7,71334.31,0,-1
0,TRANSFER,985.76,1389,69151.09,68165.33,146,62202.48,63188.25,0,-1
0,TRANSFER,265.7,498,88239.03,87973.33,10,93113.85,93379.57,0,-1
0,TRANSFER,627.89,622,93232.93,92605.04,118,58317.14,58945.03,0,-1
0,TRANSFER,976.77,1152,85286.97,84310.2,20,73538.43,74515.21,0,-1
0,TRANSFER,223.11,1121,50859.57,50636.46,140,52331.19,52554.3,0,-1
0,TRANSFER,348.39,999,98859.71,98511.31,754,51718.85,52067.25,0,-1
0,TRANSFER,391.77,61,55069.67,54677.9,72,94290.67,94682.45,0,-1
0,TRANSFER,103.57,869,88451.84,88348.26,32,63029.64,63133.22,0,-1
0,TRANSFER,852.2,35,90288.92,89436.71,179,89381.53,90233.74,0,-1
0,TRANSFER,835.61,1118,79436.1,78600.5,45,75736.4,76572.01,0,-1
0,TRANSFER,287.35,1428,67427.84,67140.49,40,72173.89,72461.24,0,-1
0,TRANSFER,221.15,794,62774.53,62553.37,1028,64096.12,64317.28,0,-1
0,TRANSFER,109.22,132,69062.07,68952.84,17,93492.22,93601.45,0,-1
0,TRANSFER,283.9,784,68900.32,68616.42,53,62749.07,63032.97,0,-1
0,TRANSFER,639.22,397,82124.7,81485.48,38,72736.88,73376.1,0,-1
0,TRANSFER,800.72,1261,59469.78,58669.06,146,63188.25,63988.97,0,-1
0,TRANSFER,554.28,614,85973.21,85418.93,66,90804.47,91358.75,0,-1
0,TRANSFER,743.51,903,88522.07,87778.56,132,68952.84,69696.35,0,-1
0,TRANSFER,972.73,386,58097.5,57124.76,118,58945.03,59917.77,0,-1
0,TRANSFER,321.68,928,64595.28,64273.6,39,72442.82,72764.5,0,-1
0,TRANSFER,133.76,781,62765.89,62632.12,169,75194.52,75328.28,0,-1
0,TRANSFER,333.06,1391,85618.21,85285.15,41,97121.33,97454.39,0,-1
0,TRANSFER,522.02,1391,85285.15,84763.12,249,51243.05,51765.08,0,-1
0,TRANSFER,178.29,1179,79735.24,79556.94,12,74341.66,74519.96,0,-1
0,TRANSFER,732.75,937,78439.85,77707.1,43,98755.75,99488.52,0,-1
0,TRANSFER,156.59,1340,96518.11,96361.52,80,59272.05,59428.64,0,-1
0,TRANSFER,415.67,944,75737.22,75321.54,128,70030.15,70445.83,0,-1
0,TRANSFER,478.3,215,79913.74,79435.43,86,73924.97,74403.28,0,-1
0,TRANSFER,354.67,822,96848.96,96494.28,29,86493.22,86847.89,0,-1
0,TRANSFER,118.99,102,98929.47,98810.47,83,72217.5,72336.5,0,-1
0,TRANSFER,463.8,44,63653.32,63189.52,560,74902.96,75366.76,0,-1
0,TRANSFER,832.2,1203,84953.25,84121.05,26,56551.94,57384.15,0,-1
0,TRANSFER,750.17,1021,62042.6,61292.43,24,53332.53,54082.7,0,-1
0,TRANSFER,857.71,55,84735.68,83877.97,33,59443.26,60300.97,0,-1
0,TRANSFER,610.76,12,74519.96,73909.19,52,63671.98,64282.74,0,-1
0,TRANSFER,337.65,1162,94135.67,93798.01,350,77140.92,77478.57,0,-1
0,TRANSFER,785.6,949,81392.0,80606.39,341,85678.24,86463.85,0,-1
0,TRANSFER,799.35,1190,89347.21,88547.85,325,84953.07,85752.43,0,-1
0,TRANSFER,352.13,610,52085.08,51732.94,38,73376.1,73728.24,0,-1
0,TRANSFER,680.3,641,97316.9,96636.6,118,59917.77,60598.07,0,-1
0,TRANSFER,300.13,1130,85074.47,84774.33,68,82178.42,82478.56,0,-1
0,TRANSFER,327.53,1153,94436.29,94108.75,75,90906.82,91234.35,0,-1
0,TRANSFER,137.72,629,57412.8,57275.07,30,55751.12,55888.84,0,-1
0,TRANSFER,551.52,391,79113.22,78561.69,571,60244.51,60796.03,0,-1
0,TRANSFER,620.26,14,55914.6,55294.34,8,100560.11,101180.37,0,-1
0,TRANSFER,138.9,1420,90897.96,90759.05,227,69288.96,69427.87,0,-1
0,TRANSFER,456.32,1422,74294.2,73837.87,103,87004.25,87460.58,0,-1
0,TRANSFER,541.6,1205,89090.49,88548.89,954,92469.04,93010.65,0,-1
0,TRANSFER,774.75,648,60129.82,59355.06,190,59330.53,60105.29,0,-1
0,TRANSFER,672.07,1299,52243.6,51571.53,4,91267.85,91939.92,0,-1
0,TRANSFER,281.48,872,65915.56,65634.07,30,55888.84,56170.33,0,-1
0,TRANSFER,554.13,974,53346.89,52792.76,151,81030.6,81584.75,0,-1
0,TRANSFER,267.1,1328,80252.17,79985.07,22,93878.67,94145.77,0,-1
0,TRANSFER,226.44,868,72497.39,72270.95,47,51373.64,51600.08,0,-1
0,TRANSFER,476.54,1360,68843.64,68367.1,33,60300.97,60777.51,0,-1
0,TRANSFER,530.34,960,85110.75,84580.41,13,98213.61,98743.96,0,-1
0,TRANSFER,388.74,606,69580.09,69191.34,8,101180.37,101569.12,0,-1
0,TRANSFER,528.07,382,84630.82,84102.75,89,63074.6,63602.67,0,-1
0,TRANSFER,631.27,894,67071.92,66440.64,74,84319.44,84950.72,0,-1
0,TRANSFER,126.97,967,64042.87,63915.89,30,56170.33,56297.3,0,-1
0,TRANSFER,202.24,1302,93827.35,93625.1,41,97454.39,97656.64,0,-1
0,TRANSFER,820.85,1357,51857.55,51036.7,117,60445.78,61266.64,0,-1
0,TRANSFER,333.58,1433,98362.2,98028.62,38,73728.24,74061.82,0,-1
0,TRANSFER,593.81,400,75504.21,74910.39,46,68646.0,69239.82,0,-1
0,TRANSFER,286.08,809,93839.35,93553.27,73,95321.99,95608.07,0,-1
0,TRANSFER,927.68,893,63757.07,62829.38,232,85620.99,86548.67,0,-1
0,TRANSFER,544.54,1412,88562.11,88017.57,40,72461.24,73005.78,0,-1
0,TRANSFER,799.7,1148,87724.52,86924.82,55,83877.97,84677.67,0,-1
0,TRANSFER,344.62,875,89266.79,88922.16,39,72764.5,73109.14,0,-1
0,TRANSFER,917.39,1160,85961.4,85044.01,90,71098.81,72016.2,0,-1
0,TRANSFER,786.72,1373,75434.89,74648.17,30,56297.3,57084.03,0,-1
0,TRANSFER,562.75,1388,75318.13,74755.38,197,95425.03,95987.78,0,-1
0,TRANSFER,730.06,916,51064.98,50334.91,75,91234.35,91964.42,0,-1
0,TRANSFER,687.93,1305,87956.53,87268.6,53,63032.97,63720.91,0,-1
0,TRANSFER,442.28,6,69099.22,68656.93,33,60777.51,61219.8,0,-1
0,TRANSFER,912.67,1430,81642.63,80729.96,52,64282.74,65195.41,0,-1
0,TRANSFER,345.43,1417,93646.29,93300.86,92,74152.17,74497.6,0,-1
0,TRANSFER,823.14,16,50963.87,50140.72,20,74515.21,75338.35,0,-1
0,TRANSFER,359.67,402,85213.89,84854.21,956,73930.64,74290.31,0,-1
0,TRANSFER,390.34,1264,99376.2,98985.85,15,55743.03,56133.37,0,-1
0,TRANSFER,626.14,522,75026.07,74399.92,26,57384.15,58010.3,0,-1
0,TRANSFER,571.5,1046,69097.64,68526.13,334,51686.87,52258.37,0,-1
0,TRANSFER,813.86,1128,73657.67,72843.8,43,99488.52,100302.39,0,-1
0,TRANSFER,578.75,1380,58293.03,57714.27,18,92937.22,93515.98,0,-1
0,TRANSFER,396.24,94,66364.39,65968.15,17,93601.45,93997.69,0,-1
0,TRANSFER,995.81,1406,52516.3,51520.49,249,51765.08,52760.9,0,-1
0,TRANSFER,560.16,77,95122.21,94562.04,25,98740.14,99300.3,0,-1
0,TRANSFER,829.49,778,64440.78,63611.28,657,64737.3,65566.8,0,-1
0,TRANSFER,653.91,1330,91792.93,91139.01,26,58010.3,58664.21,0,-1
0,TRANSFER,290.77,751,86133.9,85843.13,141,67069.84,67360.61,0,-1
0,TRANSFER,370.13,882,67809.78,67439.64,33,61219.8,61589.94,0,-1
0,TRANSFER,466.47,380,67431.2,66964.72,50,72213.15,72679.63,0,-1
0,TRANSFER,647.8,211,73834.14,73186.33,740,84520.52,85168.32,0,-1
0,TRANSFER,804.72,863,89755.39,88950.66,64,49684.41,50489.14,0,-1
0,TRANSFER,692.66,36,89970.5,89277.83,52,65195.41,65888.07,0,-1
0,TRANSFER,590.02,1394,69667.28,69077.25,207,89779.81,90369.84,0,-1
0,TRANSFER,516.61,914,54958.32,54441.71,1423,61914.57,62431.18,0,-1
0,TRANSFER,300.85,645,63785.05,63484.19,369,93680.79,93981.64,0,-1
0,TRANSFER,504.48,288,66011.77,65507.28,43,100302.39,100806.87,0,-1
0,TRANSFER,898.22,977,73678.42,72780.2,26,58664.21,59562.44,0,-1
0,TRANSFER,950.9,1333,76743.14,75792.24,5,77717.43,78668.34,0,-1
0,TRANSFER,929.83,1395,57115.6,56185.77,1037,86658.74,87588.57,0,-1
0,TRANSFER,570.53,946,73573.43,73002.9,3,90324.39,90894.92,0,-1
0,TRANSFER,694.81,910,81409.11,80714.3,11,81167.9,81862.71,0,-1
0,TRANSFER,755.62,910,80714.3,79958.67,911,97899.07,98654.7,0,-1
0,TRANSFER,950.53,1325,74940.52,73989.98,256,75384.32,76334.86,0,-1
0,TRANSFER,853.64,595,75930.88,75077.24,35,89436.71,90290.35,0,-1
0,TRANSFER,412.53,1348,95903.28,95490.75,257,86177.14,86589.67,0,-1
0,TRANSFER,621.4,11,81862.71,81241.3,39,73109.14,73730.54,0,-1
0,TRANSFER,382.13,1015,54886.19,54504.06,30,57084.03,57466.16,0,-1
0,TRANSFER,514.62,918,74100.85,73586.22,7,98040.59,98555.21,0,-1
0,TRANSFER,122.55,907,60549.48,60426.92,193,87490.39,87612.96,0,-1
0,TRANSFER,906.81,907,60426.92,59520.11,193,87612.96,88519.76,0,-1
0,TRANSFER,530.06,399,81962.53,81432.46,51,60511.57,61041.64,0,-1
0,TRANSFER,924.3,396,56187.91,55263.6,71,51023.57,51947.87,0,-1
0,TRANSFER,152.84,396,55263.6,55110.76,71,51947.87,52100.71,0,-1
0,TRANSFER,781.57,1157,76773.29,75991.71,87,79159.89,79941.47,0,-1
0,TRANSFER,225.83,1135,58798.87,58573.03,44,63189.52,63415.35,0,-1
0,TRANSFER,400.67,1004,70659.46,70258.78,26,59562.44,59963.12,0,-1
0,TRANSFER,794.18,885,82918.5,82124.31,346,88999.74,89793.92,0,-1
0,TRANSFER,870.2,1326,84650.89,83780.68,21,94310.61,95180.81,0,-1
0,TRANSFER,151.95,1326,83780.68,83628.73,125,66850.85,67002.8,0,-1
0,TRANSFER,182.65,1155,83087.99,82905.33,166,90774.21,90956.86,0,-1
0,TRANSFER,335.76,1238,61425.25,61089.48,9,89324.17,89659.94,1,0
0,TRANSFER,500.3,9,89659.94,89159.64,288,65507.28,66007.59,0,-1
0,TRANSFER,411.49,1154,68845.0,68433.51,170,88841.49,89252.98,0,-1
0,TRANSFER,804.88,3,90894.92,90090.04,275,77084.42,77889.3,0,-1
0,TRANSFER,785.74,626,80776.39,79990.64,8,101569.12,102354.86,0,-1
0,TRANSFER,797.03,957,77295.6,76498.57,21,95180.81,95977.85,0,-1
0,TRANSFER,483.88,957,76498.57,76014.68,657,65566.8,66050.68,0,-1
0,TRANSFER,183.07,917,63243.32,63060.24,17,93997.69,94180.77,0,-1
0,TRANSFER,748.5,900,72667.65,71919.15,113,89987.88,90736.39,0,-1
0,TRANSFER,814.8,557,95359.07,94544.27,33,61589.94,62404.74,0,-1
0,TRANSFER,535.07,1200,75598.46,75063.39,18,93515.98,94051.05,0,-1
0,TRANSFER,926.11,1319,73531.28,72605.16,1416,55651.23,56577.34,0,-1
0,TRANSFER,799.05,1425,58113.98,57314.92,14,55294.34,56093.4,0,-1
0,TRANSFER,249.79,1165,56905.62,56655.82,23,98987.59,99237.39,0,-1
0,TRANSFER,312.83,1421,95669.06,95356.22,20,75338.35,75651.18,0,-1
0,TRANSFER,913.57,1421,95356.22,94442.64,323,50897.17,51810.75,0,-1
0,TRANSFER,659.66,1105,70204.0,69544.33,104,80727.57,81387.24,0,-1
0,TRANSFER,293.28,28,69375.75,69082.46,17,94180.77,94474.05,0,-1
0,TRANSFER,312.55,107,99788.39,99475.83,731,93713.35,94025.9,0,-1
0,TRANSFER,579.54,921,98824.74,98245.2,238,99453.43,100032.97,0,-1
0,TRANSFER,783.59,1009,56979.17,56195.57,62,84489.03,85272.63,0,-1
0,TRANSFER,372.36,608,94031.47,93659.1,120,78200.13,78572.5,0,-1
0,TRANSFER,340.32,1404,91282.96,90942.63,147,66824.85,67165.18,0,-1
0,TRANSFER,986.99,783,97368.1,96381.11,98,88949.0,89935.99,0,-1
0,TRANSFER,252.49,1040,91401.89,91149.39,85,84852.57,85105.07,0,-1
0,TRANSFER,856.79,1409,88230.56,87373.76,36,89277.83,90134.63,0,-1
0,TRANSFER,517.45,1332,82676.17,82158.72,21,95977.85,96495.3,0,-1
0,TRANSFER,131.67,1332,82158.72,82027.04,40,73005.78,73137.46,0,-1
0,TRANSFER,969.58,26,59963.12,58993.53,1220,87349.96,88319.54,0,-1
0,TRANSFER,411.4,108,69923.27,69511.87,53,63720.91,64132.31,1,1
0,TRANSFER,467.4,53,64132.31,63664.9,668,83712.85,84180.25,0,-1
0,TRANSFER,681.03,53,63664.9,62983.87,668,84180.25,84861.28,0,-1
0,TRANSFER,710.22,899,65019.69,64309.47,40,73137.46,73847.68,0,-1
0,TRANSFER,890.08,969,85449.85,84559.77,3,90090.04,90980.13,0,-1
0,TRANSFER,537.08,1429,59263.46,58726.37,28,69082.46,69619.55,0,-1
0,TRANSFER,776.06,126,86071.34,85295.28,24,54082.7,54858.76,0,-1
0,TRANSFER,617.1,799,85566.06,84948.95,28,69619.55,70236.66,0,-1
0,TRANSFER,599.6,1193,77085.54,76485.93,367,70594.65,71194.26,0,-1
0,TRANSFER,964.76,116,76097.07,75132.3,19,78765.18,79729.96,0,-1
0,TRANSFER,556.25,890,59161.67,58605.42,19,79729.96,80286.21,0,-1
0,TRANSFER,115.88,1343,60978.92,60863.04,29,86847.89,86963.78,0,-1
0,TRANSFER,484.58,1343,60863.04,60378.45,324,55136.58,55621.17,0,-1
0,TRANSFER,766.73,1127,54121.89,53355.15,205,87577.29,88344.03,0,-1
0,TRANSFER,705.45,968,89115.07,88409.61,24,54858.76,55564.22,0,-1
0,TRANSFER,636.22,976,80845.82,80209.59,77,94562.04,95198.27,0,-1
0,TRANSFER,512.11,1011,52402.01,51889.89,117,61266.64,61778.76,0,-1
0,TRANSFER,517.06,71,52100.71,51583.65,25,99300.3,99817.36,0,-1
0,TRANSFER,777.51,384,80738.59,79961.07,58,97111.38,97888.89,0,-1
0,TRANSFER,692.83,384,79961.07,79268.24,33,62404.74,63097.57,0,-1
0,TRANSFER,583.55,19,80286.21,79702.65,44,63415.35,63998.91,0,-1
0,TRANSFER,792.19,1023,76532.68,75740.49,338,58570.94,59363.13,0,-1
0,TRANSFER,344.29,63,76407.42,76063.12,12,73909.19,74253.49,0,-1
0,TRANSFER,926.55,1418,64969.1,64042.55,68,82478.56,83405.1,0,-1
0,TRANSFER,168.96,1297,67026.81,66857.84,28,70236.66,70405.63,0,-1
0,TRANSFER,969.6,405,59174.62,58205.02,197,95987.78,96957.39,0,-1
0,TRANSFER,567.72,904,94797.97,94230.25,13,98743.96,99311.68,0,-1
0,TRANSFER,116.17,979,90078.57,89962.39,127,61911.28,62027.46,0,-1
0,TRANSFER,848.24,1436,71078.18,70229.94,62,85272.63,86120.87,0,-1
0,TRANSFER,273.78,1414,81687.97,81414.18,231,64272.01,64545.8,0,-1
0,TRANSFER,221.22,1382,73603.64,73382.42,10,93379.57,93600.78,0,-1
0,TRANSFER,734.74,859,59116.58,58381.84,40,73847.68,74582.42,0,-1
0,TRANSFER,140.67,1045,62831.17,62690.49,386,57124.76,57265.43,0,-1
1,TRANSFER,957.02,1403,50855.32,49898.3,645,63484.19,64441.21,0,-1
1,TRANSFER,565.08,1375,59494.53,58929.45,32,63133.22,63698.3,0,-1
1,TRANSFER,508.98,921,98245.2,97736.21,238,100032.97,100541.96,0,-1
1,TRANSFER,172.13,1379,97259.11,97086.98,81,94429.59,94601.72,0,-1
1,TRANSFER,902.72,95,74921.18,74018.46,989,50330.85,51233.58,0,-1
1,TRANSFER,648.02,385,99882.13,99234.1,139,55661.17,56309.19,0,-1
1,TRANSFER,319.68,1350,73887.78,73568.1,48,87049.29,87368.97,0,-1
1,TRANSFER,331.4,119,56251.41,55920.01,110,73183.32,73514.71,0,-1
1,TRANSFER,639.06,79,94484.82,93845.76,139,56309.19,56948.25,0,-1
1,TRANSFER,815.91,1331,59272.87,58456.95,967,63915.89,64731.81,0,-1
1,TRANSFER,459.22,378,96069.59,95610.37,1033,91716.2,92175.42,0,-1
1,TRANSFER,939.25,120,78572.5,77633.24,34,61343.35,62282.6,0,-1
1,TRANSFER,826.77,1377,91238.25,90411.47,77,95198.27,96025.04,0,-1
1,TRANSFER,491.21,621,81115.7,80624.48,33,63097.57,63588.79,0,-1
1,TRANSFER,729.0,1373,74648.17,73919.16,30,57466.16,58195.17,0,-1
1,TRANSFER,743.65,499,98841.79,98098.14,1225,50313.87,51057.53,0,-1
1,TRANSFER,852.45,1289,89232.39,88379.93,322,97815.07,98667.53,0,-1
1,TRANSFER,731.43,818,61383.82,60652.39,58,97888.89,98620.33,0,-1
1,TRANSFER,404.71,956,74290.31,73885.6,7,98555.21,98959.92,0,-1
1,TRANSFER,520.51,1320,87865.92,87345.41,11,81241.3,81761.82,0,-1
1,TRANSFER,656.15,1337,88805.57,88149.41,47,51600.08,52256.25,0,-1
1,TRANSFER,192.11,1345,92047.15,91855.03,29,86963.78,87155.89,0,-1
1,TRANSFER,877.49,1357,51036.7,50159.2,48,87368.97,88246.47,0,-1
1,TRANSFER,687.85,1357,50159.2,49471.35,48,88246.47,88934.32,0,-1
1,TRANSFER,392.42,57,74652.77,74260.35,36,90134.63,90527.05,0,-1
1,TRANSFER,447.72,607,72975.39,72527.66,45,76572.01,77019.74,0,-1
1,TRANSFER,625.16,1022,99825.03,99199.86,64,50489.14,51114.3,0,-1
1,TRANSFER,970.02,290,92805.29,91835.27,19,79702.65,80672.68,0,-1
1,TRANSFER,775.83,1270,90749.09,89973.25,11,81761.82,82537.64,0,-1
1,TRANSFER,835.79,1161,95574.07,94738.28,977,72780.2,73616.0,0,-1
1,TRANSFER,420.34,386,57265.43,56845.09,23,99237.39,99657.72,0,-1
1,TRANSFER,149.37,1405,59233.71,59084.33,16,50140.72,50290.09,0,-1
1,TRANSFER,161.9,1405,59084.33,58922.43,16,50290.09,50452.0,0,-1
1,TRANSFER,372.35,92,74497.6,74125.25,612,69285.15,69657.5,0,-1
1,TRANSFER,140.35,32,63698.3,63557.94,28,70405.63,70545.99,0,-1
1,TRANSFER,205.57,627,69694.89,69489.32,699,93730.18,93935.75,0,-1
1,TRANSFER,401.41,1374,50172.33,49770.92,43,100806.87,101208.28,0,-1
1,TRANSFER,278.68,900,71919.15,71640.46,110,73514.71,73793.4,0,-1
1,TRANSFER,879.25,1189,72770.28,71891.03,23,99657.72,100536.97,0,-1
1,TRANSFER,752.97,1136,78769.75,78016.78,11,82537.64,83290.62,0,-1
1,TRANSFER,487.37,1397,61663.23,61175.85,767,72215.05,72702.42,0,-1
1,TRANSFER,816.53,40,74582.42,73765.89,30,58195.17,59011.7,0,-1
1,TRANSFER,212.65,932,72311.77,72099.11,9,89159.64,89372.29,0,-1
1,TRANSFER,549.8,761,56693.87,56144.07,190,60105.29,60655.1,0,-1
1,TRANSFER,829.9,1114,93648.11,92818.21,20,75651.18,76481.09,0,-1
1,TRANSFER,566.54,7,98959.92,98393.38,4,91939.92,92506.47,0,-1
1,TRANSFER,485.65,65,52517.32,52031.66,38,74061.82,74547.48,0,-1
1,TRANSFER,960.58,1381,87711.07,86750.48,62,86120.87,87081.45,0,-1
1,TRANSFER,567.3,863,88950.66,88383.35,29,87155.89,87723.19,0,-1
1,TRANSFER,118.14,91,79032.78,78914.64,24,55564.22,55682.36,0,-1
1,TRANSFER,141.78,130,50273.53,50131.75,43,101208.28,101350.07,0,-1
1,TRANSFER,684.74,868,72270.95,71586.2,47,52256.25,52940.99,0,-1
1,TRANSFER,707.77,48,88934.32,88226.55,14,56093.4,56801.18,0,-1
1,TRANSFER,405.44,509,58632.12,58226.67,436,88498.17,88903.61,0,-1
1,TRANSFER,503.11,1184,89291.45,88788.33,70,89530.07,90033.18,0,-1
1,TRANSFER,947.86,380,66964.72,66016.85,27,74505.51,75453.38,0,-1
1,TRANSFER,630.84,864,69412.92,68782.07,35,90290.35,90921.2,0,-1
1,TRANSFER,920.79,1321,76236.89,75316.09,346,89793.92,90714.72,0,-1
1,TRANSFER,864.57,1435,59160.53,58295.96,30,59011.7,59876.28,0,-1
1,TRANSFER,278.69,952,96784.92,96506.22,41,97656.64,97935.34,0,-1
1,TRANSFER,901.49,214,58024.28,57122.79,10,93600.78,94502.28,0,-1
1,TRANSFER,599.58,1262,69938.96,69339.36,14,56801.18,57400.77,0,-1
1,TRANSFER,124.17,929,87249.85,87125.67,166,90956.86,91081.04,0,-1
1,TRANSFER,719.86,960,84580.41,83860.54,25,99817.36,100537.23,0,-1
1,TRANSFER,450.25,109,63078.12,62627.86,4,92506.47,92956.73,0,-1
1,TRANSFER,844.71,68,83405.1,82560.39,97,51591.33,52436.05,0,-1
1,TRANSFER,803.49,129,50051.64,49248.15,43,101350.07,102153.57,0,-1
1,TRANSFER,839.1,1111,94164.13,93325.02,17,94474.05,95313.16,0,-1
1,TRANSFER,637.78,218,99004.92,98367.14,350,77478.57,78116.35,0,-1
1,TRANSFER,580.68,1268,92820.46,92239.77,98,89935.99,90516.67,0,-1
1,TRANSFER,854.55,1317,96942.15,96087.6,30,59876.28,60730.83,0,-1
1,TRANSFER,200.66,278,96548.31,96347.64,1177,94157.29,94357.96,0,-1
